step,episode,episode_length,episode_return,value_loss,q_loss,policy_loss,alpha,eval_return,eval_std
60000,,,,0.2957250475883484,3.112460136413574,-24.58177947998047,0.2,-49.561119821385645,4.494882625539452
61000,61,1000,-74.99998744940196,0.22920618951320648,7.390116214752197,-24.24222183227539,0.2,,
62000,62,1000,-282.58270619760685,0.2615497410297394,2.7317938804626465,-24.423398971557617,0.2,,
63000,63,1000,-61.3658007168224,0.21994876861572266,5.9973978996276855,-24.930740356445312,0.2,,
64000,64,1000,-25.90145609365275,0.3268839716911316,2.5886988639831543,-24.74493408203125,0.2,,
65000,65,1000,-204.61492907365624,0.23797155916690826,2.657480478286743,-24.821460723876953,0.2,,
66000,66,1000,-262.41644086023905,0.2665095329284668,2.8593971729278564,-24.917627334594727,0.2,,
67000,67,1000,-203.94361751253976,0.2958514392375946,2.3311846256256104,-25.225444793701172,0.2,,
68000,68,1000,-110.7687915692167,0.2807190418243408,2.660768508911133,-25.254196166992188,0.2,,
69000,69,1000,-157.3563201299814,0.2639808654785156,2.3491153717041016,-25.205110549926758,0.2,,
70000,70,1000,-54.659909073411384,0.2914621829986572,2.9347121715545654,-25.29176902770996,0.2,,
70000,,,,0.2914621829986572,2.9347121715545654,-25.29176902770996,0.2,-41.46509355654952,0.6315461830564908
71000,71,1000,-178.78597300977083,0.25257614254951477,2.469210386276245,-25.39022445678711,0.2,,
72000,72,1000,-67.20070650071256,0.28004884719848633,7.97342586517334,-25.891613006591797,0.2,,
73000,73,1000,-191.886931733621,0.22551319003105164,2.4670228958129883,-25.486007690429688,0.2,,
74000,74,1000,-50.36215349673524,0.23372063040733337,2.1936841011047363,-25.745895385742188,0.2,,
75000,75,1000,-165.82280246551977,0.31262823939323425,2.61716365814209,-26.05716896057129,0.2,,
76000,76,1000,-103.9912196762562,0.267256498336792,2.512450695037842,-26.10165023803711,0.2,,
77000,77,1000,-63.179437780509616,0.3076131343841553,2.5396924018859863,-26.11423110961914,0.2,,
78000,78,1000,-255.20818014316916,0.2933117151260376,2.2989988327026367,-26.0013370513916,0.2,,
79000,79,1000,-87.40577894897315,0.25961631536483765,2.522770881652832,-26.575578689575195,0.2,,
80000,80,1000,-243.58490390990173,0.25233229994773865,7.4338459968566895,-26.177541732788086,0.2,,
80000,,,,0.25233229994773865,7.4338459968566895,-26.177541732788086,0.2,-49.47657247239128,3.490698136873428
81000,81,1000,-96.09930632710537,0.2550925016403198,8.372919082641602,-26.776838302612305,0.2,,
82000,82,1000,-218.9952254672104,0.229363352060318,2.3282530307769775,-26.442949295043945,0.2,,
83000,83,1000,-270.5206095593442,0.275924950838089,4.879717826843262,-26.242996215820312,0.2,,
84000,84,1000,-270.9378709712643,0.20954760909080505,1.587660551071167,-26.47113037109375,0.2,,
85000,85,1000,-181.6049357759001,0.2394094467163086,1.9265769720077515,-26.953813552856445,0.2,,
86000,86,1000,-237.76545152706757,0.22606401145458221,4.5186567306518555,-26.97987937927246,0.2,,
87000,87,1000,-247.91050155637342,0.23582088947296143,7.7877516746521,-26.428955078125,0.2,,
88000,88,1000,-201.099516543773,0.2896991968154907,8.253177642822266,-26.217796325683594,0.2,,
89000,89,1000,-86.42090766705368,0.24261826276779175,2.5870590209960938,-26.375566482543945,0.2,,
90000,90,1000,-83.26488957499963,0.24086394906044006,5.219476699829102,-26.577289581298828,0.2,,
90000,,,,0.24086394906044006,5.219476699829102,-26.577289581298828,0.2,-36.29935130844036,2.4091175658558384
91000,91,1000,-262.8388174605857,0.25439679622650146,2.3306150436401367,-26.287277221679688,0.2,,
92000,92,1000,-268.0099915148955,0.21510764956474304,2.13071870803833,-26.405773162841797,0.2,,
93000,93,1000,-250.75467591433375,0.23849555850028992,2.2269113063812256,-26.435775756835938,0.2,,
94000,94,1000,-202.14578915350887,0.21765896677970886,2.182839870452881,-27.028717041015625,0.2,,
95000,95,1000,-96.19998625075894,0.26998794078826904,1.7701753377914429,-26.9156494140625,0.2,,
96000,96,1000,-57.47006970628721,0.21318432688713074,1.9097464084625244,-26.97364044189453,0.2,,
97000,97,1000,-120.07784721916786,0.22282785177230835,2.5245964527130127,-26.394222259521484,0.2,,
98000,98,1000,-222.34186517596135,0.22699736058712006,2.034463405609131,-27.10706329345703,0.2,,
99000,99,1000,-46.15374576242327,0.25037986040115356,2.085646152496338,-26.68726348876953,0.2,,
100000,100,1000,-149.50644326854228,0.20076841115951538,8.46811294555664,-26.954383850097656,0.2,,
100000,,,,0.20076841115951538,8.46811294555664,-26.954383850097656,0.2,-32.66400597548424,2.1729764936208276
101000,101,1000,-208.0173368202786,0.24503490328788757,2.1357409954071045,-26.6007080078125,0.2,,
102000,102,1000,-159.64651726827407,0.19932636618614197,8.696517944335938,-27.0523624420166,0.2,,
103000,103,1000,-115.48732311957698,0.2516025900840759,1.9528672695159912,-26.747249603271484,0.2,,
104000,104,1000,-88.68878443989536,0.25374534726142883,1.919487476348877,-27.38237762451172,0.2,,
105000,105,1000,-27.34948580175849,0.2117987424135208,1.8760387897491455,-26.66953468322754,0.2,,
106000,106,1000,-142.6167650564705,0.20127981901168823,1.8283923864364624,-27.24298095703125,0.2,,
107000,107,1000,-263.3663858207108,0.2559436559677124,3.9867568016052246,-27.23175811767578,0.2,,
108000,108,1000,-204.4973715443474,0.20696252584457397,1.753659725189209,-26.889373779296875,0.2,,
109000,109,1000,-201.3917944484803,0.18637920916080475,1.9748092889785767,-27.521488189697266,0.2,,
110000,110,1000,-114.89498725786895,0.2424832582473755,9.696548461914062,-26.968473434448242,0.2,,
110000,,,,0.2424832582473755,9.696548461914062,-26.968473434448242,0.2,-27.139523880106196,1.5174154004178553
111000,111,1000,-26.77685659333981,0.2067771553993225,2.0845937728881836,-27.287551879882812,0.2,,
112000,112,1000,-72.08906095602924,0.21791541576385498,1.7638550996780396,-27.328413009643555,0.2,,
113000,113,1000,-167.34901884497637,0.24905861914157867,4.60020112991333,-26.883197784423828,0.2,,
114000,114,1000,-79.22918263857979,0.21103839576244354,1.9260703325271606,-27.283973693847656,0.2,,
115000,115,1000,-193.25493353536274,0.19104652106761932,1.656713843345642,-27.430334091186523,0.2,,
116000,116,1000,-123.29008689915696,0.25464463233947754,1.7455179691314697,-27.010910034179688,0.2,,
117000,117,1000,-206.93067915330855,0.21831029653549194,1.8185508251190186,-28.280372619628906,0.2,,
118000,118,1000,-127.1480864856572,0.22331276535987854,2.0401864051818848,-27.776641845703125,0.2,,
119000,119,1000,-132.00402453906838,0.1977715790271759,1.9444811344146729,-27.61536979675293,0.2,,
120000,120,1000,-114.95588498161362,0.1580214649438858,4.545585632324219,-28.408084869384766,0.2,,
120000,,,,0.1580214649438858,4.545585632324219,-28.408084869384766,0.2,-55.67592512358565,16.06797288678405
121000,121,1000,-201.5493297723048,0.2067023068666458,1.9796442985534668,-28.70632553100586,0.2,,
122000,122,1000,-121.35877700572553,0.23972587287425995,1.8177729845046997,-27.820585250854492,0.2,,
123000,123,1000,-135.52358985554125,0.22301504015922546,1.9294538497924805,-28.259002685546875,0.2,,
124000,124,1000,-71.44016486197819,0.23935699462890625,4.943948268890381,-28.337635040283203,0.2,,
125000,125,1000,-107.39924938818716,0.20300263166427612,12.156440734863281,-28.73824119567871,0.2,,
126000,126,1000,-281.68782788825087,0.2215927690267563,1.9856922626495361,-29.534027099609375,0.2,,
127000,127,1000,-198.46389009678384,0.20062655210494995,1.8143929243087769,-28.970046997070312,0.2,,
128000,128,1000,-99.81198575384172,0.23408520221710205,2.0484061241149902,-29.261096954345703,0.2,,
129000,129,1000,-243.9461159880469,0.18772202730178833,1.8122248649597168,-29.099712371826172,0.2,,
130000,130,1000,-158.25083617007874,0.2221543788909912,1.714400291442871,-28.39531707763672,0.2,,
130000,,,,0.2221543788909912,1.714400291442871,-28.39531707763672,0.2,-39.33913105480163,23.77010733631902
131000,131,1000,-189.51768363683047,0.19708126783370972,1.7830967903137207,-28.824256896972656,0.2,,
132000,132,1000,-124.24929430632878,0.21415318548679352,1.883866548538208,-29.380359649658203,0.2,,
133000,133,1000,-224.95783895648987,0.186326265335083,2.0362486839294434,-29.588462829589844,0.2,,
134000,134,1000,-100.02336232264228,0.18752442300319672,9.222829818725586,-29.321748733520508,0.2,,
135000,135,1000,-107.59584548480561,0.17720842361450195,2.002176523208618,-29.552207946777344,0.2,,
136000,136,1000,-156.82360497241848,0.2284351885318756,1.57988703250885,-28.631031036376953,0.2,,
137000,137,1000,-133.86272500478057,0.1940174251794815,1.7246575355529785,-30.044002532958984,0.2,,
138000,138,1000,-100.3991790901436,0.2317027449607849,1.9823750257492065,-29.555313110351562,0.2,,
139000,139,1000,-71.62868706765977,0.1760941743850708,10.369585037231445,-29.66611099243164,0.2,,
140000,140,1000,-71.41129223492038,0.19556237757205963,1.5864900350570679,-29.859046936035156,0.2,,
140000,,,,0.19556237757205963,1.5864900350570679,-29.859046936035156,0.2,-8.040399734308703,30.44317249169452
141000,141,1000,-101.33306617432041,0.2021775245666504,1.9126298427581787,-30.154338836669922,0.2,,
142000,142,1000,-175.65097605674262,0.24288687109947205,1.7462525367736816,-30.076841354370117,0.2,,
143000,143,1000,-160.48859571385162,0.16103032231330872,1.765690565109253,-29.782360076904297,0.2,,
144000,144,1000,-159.6394208725394,0.21724121272563934,1.999233603477478,-30.280914306640625,0.2,,
145000,145,1000,-224.19250282818604,0.17639794945716858,1.6422697305679321,-29.98147201538086,0.2,,
146000,146,1000,-196.02696506743433,0.21971389651298523,5.279949188232422,-30.71786117553711,0.2,,
147000,147,1000,-273.6213759137449,0.1689169704914093,18.193687438964844,-30.14702606201172,0.2,,
148000,148,1000,-78.94822509743392,0.22646431624889374,1.5877140760421753,-30.433868408203125,0.2,,
149000,149,1000,-69.17834196461862,0.1860789805650711,4.774221420288086,-31.18007469177246,0.2,,
150000,150,1000,-147.6400427760738,0.16512735188007355,11.326582908630371,-31.142728805541992,0.2,,
150000,,,,0.16512735188007355,11.326582908630371,-31.142728805541992,0.2,-0.9922618825331073,3.711515336829853
151000,151,1000,-52.49328606597421,0.2297782301902771,1.8067116737365723,-31.523944854736328,0.2,,
152000,152,1000,-136.352300388915,0.1830735057592392,1.4597156047821045,-31.05714225769043,0.2,,
153000,153,1000,-114.75265542639293,0.2110714614391327,5.143374919891357,-31.523643493652344,0.2,,
154000,154,1000,-57.827533524518124,0.18314483761787415,1.88367760181427,-30.804222106933594,0.2,,
155000,155,1000,-221.1610403404935,0.1919725239276886,1.6774704456329346,-31.697471618652344,0.2,,
156000,156,1000,-254.86334959284588,0.20001426339149475,1.5507258176803589,-32.12508010864258,0.2,,
157000,157,1000,-190.9285539999647,0.1692200005054474,1.7774767875671387,-31.19229507446289,0.2,,
158000,158,1000,-286.00094794008305,0.22598497569561005,2.017392158508301,-31.912946701049805,0.2,,
159000,159,1000,-191.21101568350463,0.18583381175994873,1.8932781219482422,-31.38215446472168,0.2,,
160000,160,1000,-158.70143470649543,0.17354536056518555,1.3525323867797852,-32.34280014038086,0.2,,
160000,,,,0.17354536056518555,1.3525323867797852,-32.34280014038086,0.2,-20.74772813762622,21.40935200044876
161000,161,1000,-60.88584763197127,0.19317016005516052,1.6186139583587646,-31.89410400390625,0.2,,
162000,162,1000,-254.6250429909671,0.1871524155139923,11.282977104187012,-31.920373916625977,0.2,,
163000,163,1000,-170.89516821844674,0.2073317915201187,4.88383674621582,-31.35028839111328,0.2,,
164000,164,1000,-167.74374901062387,0.2050621211528778,1.9778110980987549,-32.627525329589844,0.2,,
165000,165,1000,-65.12116630862339,0.23170919716358185,2.17765736579895,-32.54882049560547,0.2,,
166000,166,1000,-65.86251758827198,0.17718298733234406,1.9219032526016235,-31.88041114807129,0.2,,
167000,167,1000,-296.7727740377413,0.21464671194553375,1.9271471500396729,-32.35773468017578,0.2,,
168000,168,1000,-31.996191955967422,0.21457335352897644,1.742087483406067,-32.307655334472656,0.2,,
169000,169,1000,-269.5968794554084,0.1887647807598114,2.0237765312194824,-32.38999938964844,0.2,,
170000,170,1000,-70.49722863939745,0.17960944771766663,1.640342354774475,-32.762413024902344,0.2,,
170000,,,,0.17960944771766663,1.640342354774475,-32.762413024902344,0.2,-17.973055230301156,18.43597618041459
171000,171,1000,-137.78486953094784,0.2016376554965973,9.871227264404297,-32.72241973876953,0.2,,
172000,172,1000,-27.6539243375582,0.18687057495117188,7.515970230102539,-32.53839874267578,0.2,,
173000,173,1000,-261.01348369228873,0.1682247370481491,1.7469685077667236,-33.032737731933594,0.2,,
174000,174,1000,-50.884058320678236,0.20722731947898865,1.717437982559204,-32.8621826171875,0.2,,
175000,175,1000,-93.45807873247323,0.13662663102149963,1.9143459796905518,-32.80615997314453,0.2,,
176000,176,1000,-217.41287356969,0.18002575635910034,1.588282585144043,-33.58628845214844,0.2,,
177000,177,1000,-177.03719161853985,0.19792351126670837,11.49925422668457,-32.764686584472656,0.2,,
178000,178,1000,-72.54138879591834,0.20818136632442474,12.20787239074707,-32.49504852294922,0.2,,
179000,179,1000,-269.2252761769355,0.2032248079776764,1.9462275505065918,-32.84858703613281,0.2,,
180000,180,1000,-276.3573970375617,0.2101821005344391,1.3803203105926514,-34.116668701171875,0.2,,
180000,,,,0.2101821005344391,1.3803203105926514,-34.116668701171875,0.2,-7.199489352473475,1.2510917259608205
181000,181,1000,-204.19908906336084,0.2590925693511963,1.6643353700637817,-33.12470626831055,0.2,,
182000,182,1000,-166.63364618128347,0.22099259495735168,1.7066792249679565,-33.39958953857422,0.2,,
183000,183,1000,-257.35711125281597,0.18573585152626038,6.885570526123047,-33.217716217041016,0.2,,
184000,184,1000,-80.76850969783386,0.1857951134443283,1.5272812843322754,-32.91897201538086,0.2,,
185000,185,1000,-242.23735220741875,0.16973483562469482,1.3794732093811035,-33.29053497314453,0.2,,
186000,186,1000,-163.69916826509012,0.24975153803825378,11.76846694946289,-34.11857604980469,0.2,,
187000,187,1000,-255.39560920868038,0.2064753919839859,1.6781866550445557,-33.21965408325195,0.2,,
188000,188,1000,-110.98835006296127,0.2093690037727356,5.33922815322876,-33.77949523925781,0.2,,
189000,189,1000,-152.3770811695066,0.14841139316558838,1.7573137283325195,-34.43230438232422,0.2,,
190000,190,1000,-240.95886041827094,0.195332333445549,1.4761580228805542,-33.68886947631836,0.2,,
190000,,,,0.195332333445549,1.4761580228805542,-33.68886947631836,0.2,-11.79886980855856,0.8646649808086772
191000,191,1000,-257.13525055329336,0.1794872283935547,1.6467748880386353,-33.91106414794922,0.2,,
192000,192,1000,1.8768420372557435,0.23826222121715546,2.004131555557251,-33.4024543762207,0.2,,
193000,193,1000,-232.1777263197854,0.19572095572948456,5.882172584533691,-33.60783767700195,0.2,,
194000,194,1000,-200.53741113670048,0.23557154834270477,1.611069917678833,-33.535518646240234,0.2,,
195000,195,1000,-28.25784219166371,0.19988594949245453,1.7591729164123535,-34.33772659301758,0.2,,
196000,196,1000,-16.755085218050503,0.19860133528709412,1.703967571258545,-34.39012145996094,0.2,,
197000,197,1000,-228.30178788091413,0.1878385841846466,15.106718063354492,-34.05473709106445,0.2,,
198000,198,1000,-59.149957641676494,0.21431292593479156,2.057934284210205,-33.932918548583984,0.2,,
199000,199,1000,-221.6204655822481,0.215963214635849,11.653670310974121,-33.38684844970703,0.2,,
200000,200,1000,-80.07735071185535,0.22817981243133545,5.304847717285156,-34.60755920410156,0.2,,
200000,,,,0.22817981243133545,5.304847717285156,-34.60755920410156,0.2,-12.19603782306858,1.0425692044796193
201000,201,1000,41.41557616916737,0.1938667893409729,1.7987236976623535,-33.38887023925781,0.2,,
202000,202,1000,-28.978833541927727,0.17581947147846222,13.00223445892334,-34.51401138305664,0.2,,
203000,203,1000,-209.6921511627602,0.21325641870498657,1.808884859085083,-34.32372283935547,0.2,,
204000,204,1000,-196.05052234048355,0.21176230907440186,7.647772789001465,-34.22407913208008,0.2,,
205000,205,1000,-265.45490142573135,0.21938613057136536,1.2985119819641113,-34.028045654296875,0.2,,
206000,206,1000,-48.254536707998504,0.2153310477733612,2.061330795288086,-34.843875885009766,0.2,,
207000,207,1000,-15.128748374624502,0.24651440978050232,1.784955620765686,-34.82566833496094,0.2,,
208000,208,1000,-217.7805677327944,0.19362492859363556,1.808955192565918,-33.86872100830078,0.2,,
209000,209,1000,35.61250902668381,0.18638348579406738,1.6718027591705322,-34.006927490234375,0.2,,
210000,210,1000,-98.75762176415694,0.20896753668785095,1.6498949527740479,-35.17664337158203,0.2,,
210000,,,,0.20896753668785095,1.6498949527740479,-35.17664337158203,0.2,-13.753953518297575,0.9297330620573359
211000,211,1000,-127.64016384997879,0.20707273483276367,15.902405738830566,-34.290828704833984,0.2,,
212000,212,1000,-218.26846695440315,0.16750821471214294,4.977998733520508,-33.95230484008789,0.2,,
213000,213,1000,-131.86006043626327,0.2098916918039322,1.7333292961120605,-33.784263610839844,0.2,,
214000,214,1000,16.22739074070343,0.20420151948928833,5.845947265625,-35.01451873779297,0.2,,
215000,215,1000,-23.60679333293614,0.21128444373607635,1.7078635692596436,-35.261268615722656,0.2,,
216000,216,1000,-275.5935314739567,0.20392632484436035,1.4162006378173828,-35.19220733642578,0.2,,
217000,217,1000,-293.33193839054434,0.21876798570156097,1.669354796409607,-35.284854888916016,0.2,,
218000,218,1000,-224.9338961920575,0.18685194849967957,1.650032639503479,-34.89911651611328,0.2,,
219000,219,1000,5.138383621625597,0.19284933805465698,11.5154390335083,-35.83018493652344,0.2,,
220000,220,1000,-264.22141994212467,0.16596201062202454,5.435654640197754,-35.59424591064453,0.2,,
220000,,,,0.16596201062202454,5.435654640197754,-35.59424591064453,0.2,-20.962490263647034,1.1856941433838166
221000,221,1000,-161.61538799585412,0.20688247680664062,5.720318794250488,-34.599998474121094,0.2,,
222000,222,1000,-19.613300283478793,0.17960712313652039,1.8230582475662231,-35.0281982421875,0.2,,
223000,223,1000,-149.92892495958654,0.22860123217105865,1.6242096424102783,-34.652435302734375,0.2,,
224000,224,1000,-10.90215406533799,0.21846428513526917,6.329122066497803,-35.46453857421875,0.2,,
225000,225,1000,-160.65157851707906,0.2175886631011963,6.144986152648926,-35.41437911987305,0.2,,
226000,226,1000,-216.1693343109647,0.17739230394363403,1.6534653902053833,-35.65773010253906,0.2,,
227000,227,1000,-87.4232921558465,0.165643572807312,1.6030399799346924,-34.8822021484375,0.2,,
228000,228,1000,-197.87811531029465,0.20480719208717346,1.7312052249908447,-36.27998733520508,0.2,,
229000,229,1000,-145.2521554756505,0.19552433490753174,1.664592981338501,-36.03533935546875,0.2,,
230000,230,1000,-242.03004265344632,0.1980937272310257,7.6799445152282715,-35.092620849609375,0.2,,
230000,,,,0.1980937272310257,7.6799445152282715,-35.092620849609375,0.2,-24.276216997316173,0.8788326241148725
231000,231,1000,-4.30351781584688,0.23075345158576965,1.800210952758789,-35.71670150756836,0.2,,
232000,232,1000,-175.75509336044672,0.2386654168367386,2.063908100128174,-35.531517028808594,0.2,,
233000,233,1000,4.093096076077584,0.2183980941772461,1.5558507442474365,-35.54973602294922,0.2,,
234000,234,1000,-190.2617084383058,0.213669553399086,2.076543092727661,-35.41678237915039,0.2,,
235000,235,1000,2.1065602837232564,0.16957175731658936,1.3680140972137451,-35.60414123535156,0.2,,
236000,236,1000,-11.85385754455562,0.22438183426856995,1.901534080505371,-35.816349029541016,0.2,,
237000,237,1000,-40.92577708984392,0.1915774941444397,1.4848970174789429,-35.50577163696289,0.2,,
238000,238,1000,-173.2896618969333,0.2047204226255417,1.9937238693237305,-35.706878662109375,0.2,,
239000,239,1000,-222.4156398510624,0.2144453078508377,1.712234616279602,-36.55010223388672,0.2,,
240000,240,1000,-27.618137758939014,0.2162768542766571,1.5925884246826172,-35.386573791503906,0.2,,
240000,,,,0.2162768542766571,1.5925884246826172,-35.386573791503906,0.2,-31.399761175431415,1.222566185725237
241000,241,1000,-123.67091084003471,0.16152819991111755,1.612146019935608,-36.83479690551758,0.2,,
242000,242,1000,-23.232104747906153,0.2108187973499298,1.6281685829162598,-35.510894775390625,0.2,,
243000,243,1000,27.97172093542325,0.20532448589801788,1.9526989459991455,-35.856964111328125,0.2,,
244000,244,1000,-249.22225126996224,0.19210514426231384,5.430441379547119,-37.177268981933594,0.2,,
245000,245,1000,-90.75796780067671,0.19043496251106262,1.872879981994629,-36.026161193847656,0.2,,
246000,246,1000,-211.291692677175,0.21878793835639954,13.936585426330566,-35.30172348022461,0.2,,
247000,247,1000,-41.144641331859,0.20133095979690552,5.805787086486816,-35.380714416503906,0.2,,
248000,248,1000,-52.89210813591806,0.17266377806663513,1.2870314121246338,-36.9561767578125,0.2,,
249000,249,1000,-19.972168640818307,0.16998736560344696,1.646759033203125,-35.65093994140625,0.2,,
250000,250,1000,-193.0423044778609,0.17676526308059692,1.8455419540405273,-36.33742141723633,0.2,,
250000,,,,0.17676526308059692,1.8455419540405273,-36.33742141723633,0.2,-32.1997845063767,1.0916143271024128
251000,251,1000,-197.09228452185783,0.1845247447490692,1.9263103008270264,-36.39316940307617,0.2,,
252000,252,1000,-13.628141955101052,0.17186714708805084,1.6766057014465332,-37.68147659301758,0.2,,
253000,253,1000,16.63747679966144,0.21455465257167816,1.5954878330230713,-36.30628204345703,0.2,,
254000,254,1000,-45.05996932882775,0.19533640146255493,1.722169280052185,-36.38716506958008,0.2,,
255000,255,1000,-70.87737131812843,0.1662895381450653,1.7822275161743164,-36.881805419921875,0.2,,
